ID,gender,Management,USAcitizen,Married,MonthsInUnion,ContinuingEd,StateOfResidence,Connectivity,FeatureA,FeatureB,FeatureC,FeatureD,FeatureE,FeatureF,DuesFrequency,PaperlessBilling,PaymentMethod,MonthlyDues,TotalDues,LeftUnion
Justin821-16529,Female,1,No,No,15,Yes,MO,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.5,1400.3,No
Justin822-16055,Male,1,No,No,1,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44,44,No
Justin823-18851,Female,0,No,No,3,Yes,IL,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,60.25,170.5,No
Justin824-13776,Male,0,No,No,66,Yes,IL,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,5976.9,No
Justin825-17749,Female,0,No,No,11,Yes,MO,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,70.5,829.3,No
Justin826-15531,Female,0,Yes,No,48,Yes,IL,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,69.55,3435.6,No
Justin827-16267,Male,0,No,No,2,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,146.65,No
Justin828-18254,Female,0,Yes,No,41,Yes,MO,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.45,4162.05,No
Justin829-19390,Male,0,Yes,Yes,72,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),114.55,8306.05,No
Justin830-19620,Female,0,No,No,61,Yes,IL,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,89.65,5308.7,No
Justin831-17201,Male,0,No,No,3,Yes,IL,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.95,329.95,Yes
Justin832-16085,Male,0,Yes,No,72,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Credit card (automatic),24.8,1874.3,No
Justin833-15248,Male,0,No,No,9,No,MO,DSL,Yes,Yes,Yes,No,No,No,One year,No,Mailed check,39.55,373,No
Justin834-13256,Male,0,Yes,Yes,52,Yes,MO,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,79.2,4016.3,No
Justin835-14259,Male,1,Yes,No,67,Yes,IL,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),102.9,6989.7,No
Justin836-18905,Female,0,Yes,Yes,71,Yes,IL,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,100.45,7159.7,No
Justin837-19993,Female,0,No,No,8,Yes,IL,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes
Justin838-15833,Male,0,No,No,6,Yes,IL,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.95,522.35,No
Justin839-15940,Female,0,Yes,Yes,40,Yes,IL,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,84.85,3303.05,Yes
Justin840-14417,Male,0,Yes,Yes,68,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,113.15,7856,Yes
Justin841-18235,Female,0,No,No,2,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.4,80.95,No
Justin842-16471,Male,0,Yes,No,1,Yes,IL,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.6,74.6,Yes
Justin843-19375,Female,0,No,No,20,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Mailed check,19.7,406.95,No
Justin844-14764,Female,0,Yes,No,40,Yes,IL,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),105.75,4228.55,No
Justin845-18475,Male,0,No,No,8,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,43.55,335.4,No
Justin846-17151,Female,0,Yes,No,26,Yes,IL,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),79.3,2015.8,No
Justin847-18386,Male,0,Yes,Yes,67,Yes,IL,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,87.4,5918.8,Yes
Justin848-19830,Male,1,Yes,No,58,No,MO,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes
Justin849-16235,Male,0,Yes,No,4,Yes,MO,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.35,307.4,Yes
Justin850-18242,Female,1,No,No,44,Yes,MO,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,No
Justin851-16246,Male,0,No,No,55,Yes,MO,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,59.2,3175.85,No
Justin852-14101,Male,0,Yes,Yes,71,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Credit card (automatic),23.9,1626.4,No
Justin853-19122,Female,0,No,No,15,Yes,MO,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.1,1582.75,Yes
Justin854-15737,Male,0,No,No,57,Yes,MO,DSL,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,54.65,3134.7,No
Justin855-17538,Female,0,Yes,Yes,48,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Mailed check,19.55,883.35,No
Justin856-13143,Female,0,No,No,42,Yes,MO,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,67.7,2882.25,No
Justin857-18494,Female,0,No,No,18,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.1,1247.75,No
Justin858-19377,Female,0,No,No,62,Yes,IL,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,92.05,5755.8,No
Justin859-13601,Male,1,No,No,54,Yes,MO,DSL,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),65.25,3529.95,No
Justin860-16249,Male,1,No,No,2,Yes,IL,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,196.75,Yes
Justin861-19536,Male,0,Yes,Yes,4,Yes,IL,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,385.9,Yes
Justin862-18416,Female,0,Yes,Yes,56,Yes,IL,DSL,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic),65.2,3512.15,No
Justin863-15238,Male,0,Yes,Yes,66,Yes,MO,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,75.1,5013,No
Justin864-13327,Female,0,Yes,No,59,Yes,MO,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,100.05,6034.85,No
Justin865-13593,Female,1,No,No,60,Yes,IL,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),101.4,6176.6,No
Justin866-15636,Female,0,Yes,No,49,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Credit card (automatic),20.7,1032.05,No
Justin867-18741,Female,1,No,No,45,No,MO,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,34.2,1596.6,No
Justin868-16719,Male,0,Yes,Yes,23,Yes,MO,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),57.2,1423.35,No
Justin869-15183,Male,0,No,No,38,Yes,MO,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),70.45,2597.6,Yes
Justin870-12987,Female,0,No,No,627,Yes,MO,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,60.4,37870.8,Yes
Justin871-16229,Female,0,Yes,Yes,40,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,Yes,Electronic check,26.2,1077.5,No
Justin872-13305,Female,0,No,No,25,No,MO,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.25,1293.8,No
Justin873-18361,Male,0,No,No,66,No,MO,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),29.45,1983.15,No
Justin874-16530,Male,0,Yes,Yes,1,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Mailed check,19.7,19.7,No
Justin875-13105,Female,0,Yes,Yes,6,Yes,MO,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),55.9,365.35,Yes
Justin876-13841,Male,0,No,No,3,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Mailed check,19.85,64.55,Yes
Justin877-15707,Female,0,Yes,Yes,64,Yes,IL,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),110.3,6997.3,No
Justin878-19321,Female,0,No,No,2,No,MO,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.7,62.25,Yes
Justin879-14526,Male,0,Yes,Yes,24,Yes,IL,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),81,1923.85,No
Justin880-14708,Female,0,Yes,Yes,71,No,MO,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),59.7,4122.65,No
Justin881-16959,Male,1,Yes,No,72,No,MO,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.45,4641.1,No
Justin882-16255,Male,0,No,Yes,4,Yes,MO,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,49.35,219.65,Yes
Justin883-19908,Male,0,Yes,Yes,30,Yes,MO,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No
Justin884-19462,Female,0,Yes,No,63,Yes,IL,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.55,5029.05,No
Justin885-15529,Male,0,No,No,50,Yes,MO,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),90.1,4549.45,No
Justin886-13635,Female,0,No,No,9,Yes,MO,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.85,708.2,No
Justin887-17850,Male,0,No,Yes,6,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Mailed check,19.55,128.6,No
Justin888-17062,Male,0,No,No,40,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,102.65,4108.15,No
Justin889-18720,Male,0,Yes,Yes,36,No,MO,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),60.7,2234.55,No
Justin890-16536,Male,0,No,No,7,Yes,IL,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,85.2,602.55,Yes
Justin891-19425,Male,0,Yes,No,56,Yes,IL,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),100.3,5614.45,Yes
Justin892-13442,Female,0,Yes,Yes,6,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Credit card (automatic),19,105.5,No
Justin893-13279,Male,0,Yes,No,72,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Credit card (automatic),25.75,1864.2,No
Justin894-17107,Female,0,No,No,1,Yes,MO,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.7,79.7,Yes
Justin895-17783,Female,0,Yes,No,70,No,MO,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),49.85,3370.2,No
Justin896-13343,Female,0,No,No,63,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Mailed check,24.2,1618.2,No
Justin897-16352,Male,0,No,No,39,Yes,MO,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,81.9,3219.75,No
Justin898-13856,Female,0,Yes,No,42,Yes,IL,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.25,2203.65,Yes
Justin899-16142,Male,0,Yes,No,61,Yes,IL,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.1,7132.15,No
Justin900-18325,Female,0,Yes,No,41,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.6,4594.95,Yes
Justin901-18335,Male,0,Yes,No,51,Yes,IL,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,4812.75,Yes
Justin902-16565,Male,0,No,No,61,Yes,IL,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,107.75,6521.9,No
Justin903-15287,Male,0,No,No,32,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Mailed check,19.8,607.7,No
Justin904-18327,Male,0,Yes,Yes,66,Yes,MO,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.15,7031.3,No
Justin905-17275,Male,0,No,No,21,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Credit card (automatic),20.5,402.85,No
Justin906-14159,Male,1,Yes,No,7,Yes,IL,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.4,533.05,No
Justin907-16516,Male,0,No,No,19,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45,865.85,No
Justin908-16859,Male,0,No,No,2,No,MO,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),29.85,75.6,Yes
Justin909-13269,Male,0,Yes,Yes,68,Yes,MO,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),72.95,4953.25,No
Justin910-19827,Female,0,Yes,No,2,Yes,IL,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes
Justin911-19421,Male,0,No,No,9,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.5,597.9,No
Justin912-15059,Male,0,No,No,1,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Mailed check,18.9,18.9,No
Justin913-16300,Female,0,No,No,59,Yes,IL,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,83.25,4949.1,No
Justin914-13554,Male,0,No,Yes,31,Yes,IL,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,79.45,2587.7,Yes
Justin915-17550,Female,1,No,No,14,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,1531.4,Yes
Justin916-15220,Male,0,No,Yes,62,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,Yes,Mailed check,24.4,1413,No
Justin917-16656,Male,0,No,No,40,No,MO,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),62.05,2511.55,No
Justin918-17140,Female,0,Yes,No,10,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,Yes,Mailed check,20.55,252.75,No
Justin919-16006,Female,0,No,No,70,Yes,IL,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,84.7,5991.05,No
Justin920-13645,Male,0,Yes,No,10,Yes,MO,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.95,568.85,No
Justin921-17454,Female,0,Yes,No,12,Yes,IL,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,78.85,876.75,No
Justin922-14540,Male,0,No,No,7,Yes,MO,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,51,354.05,Yes
Justin923-15678,Male,0,Yes,No,71,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Electronic check,20.85,1539.75,No
Justin924-16270,Male,0,No,No,67,Yes,IL,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),88.8,5903.15,No
Justin925-16910,Male,0,Yes,Yes,46,Yes,MO,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,81,3846.35,No
Justin926-13423,Female,0,No,No,22,Yes,IL,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,59.05,1253.5,No
Justin927-18529,Male,0,No,No,37,Yes,IL,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.8,3475.55,Yes
Justin928-14468,Female,0,No,No,66,Yes,IL,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),92.15,6056.9,No
Justin929-14313,Male,0,Yes,Yes,45,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Electronic check,19.2,903.7,No
Justin930-13785,Female,0,Yes,Yes,19,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Mailed check,20.15,387.7,No
Justin931-15630,Female,1,No,No,9,Yes,MO,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.85,751.65,Yes
Justin932-13292,Female,0,No,No,1,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Mailed check,19.9,19.9,No
Justin933-16399,Female,0,Yes,Yes,45,Yes,IL,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,81.3,3541.1,No
Justin934-15733,Male,1,Yes,No,66,Yes,IL,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.05,6871.9,Yes
Justin935-14950,Female,1,Yes,No,54,Yes,MO,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.1,5437.1,No
Justin936-19082,Female,1,No,No,23,Yes,MO,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.4,1643.55,No
Justin937-14023,Male,0,Yes,Yes,7,Yes,MO,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.75,608.8,Yes
Justin938-18123,Male,0,Yes,No,72,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.1,8086.4,No
Justin939-16802,Female,0,No,No,3,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Mailed check,20.25,71.2,No
Justin940-19039,Female,0,Yes,Yes,32,Yes,MO,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.1,2723.75,No
Justin941-16420,Female,0,No,No,40,Yes,MO,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,65.1,2586,No
Justin942-17686,Male,0,No,No,18,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Mailed check,20.1,401.85,No
Justin943-16605,Male,0,Yes,No,62,Yes,IL,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.6,6912.7,No
Justin944-13887,Female,0,No,No,40,Yes,IL,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),83.85,3532.25,No
Justin945-19361,Female,0,Yes,No,68,Yes,IL,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),70.9,4911.35,No
Justin946-16666,Male,0,No,No,1,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,46.3,46.3,Yes
Justin947-15499,Female,0,No,Yes,12,Yes,IL,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.3,909.25,Yes
Justin948-13951,Male,0,Yes,No,13,Yes,IL,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,65.85,902.25,No
Justin949-13186,Female,1,No,No,45,Yes,MO,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),85.7,3778.1,No
Justin950-16394,Male,0,Yes,Yes,38,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Electronic check,19.6,717.3,No
Justin951-14969,Female,0,Yes,No,7,Yes,MO,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.3,355.1,No
Justin952-13895,Male,0,No,No,16,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Credit card (automatic),19.75,294.9,No
Justin953-14663,Female,0,Yes,No,64,Yes,MO,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,96.9,6314.35,No
Justin954-15662,Female,1,No,No,72,Yes,IL,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.1,7746.7,No
Justin955-13943,Female,0,No,No,6,Yes,MO,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55,340.4,No
Justin956-13958,Female,0,No,No,1,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.75,70.75,Yes
Justin957-19280,Female,0,No,No,26,No,MO,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.35,1277.5,No
Justin958-17393,Female,0,No,No,13,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,Yes,Mailed check,20.4,261.3,No
Justin959-17805,Male,0,No,Yes,56,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,Yes,Mailed check,21.2,1238.65,No
Justin960-15713,Male,0,Yes,Yes,45,Yes,IL,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),73.85,3371,No
Justin961-16417,Male,0,Yes,Yes,63,Yes,MO,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),74.5,4674.55,No
Justin962-17578,Male,0,Yes,Yes,4,No,MO,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),38.55,156.1,No
Justin963-18436,Female,0,Yes,Yes,7,No,MO,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,34.65,246.6,No
Justin964-14373,Female,0,No,Yes,22,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,Yes,Electronic check,20.55,469.85,No
Justin965-17468,Female,0,No,No,7,Yes,MO,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.4,715,No
Justin966-13149,Male,0,Yes,Yes,30,Yes,IL,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),83.55,2570.2,No
Justin967-15147,Female,1,No,No,3,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.4,204.7,Yes
Justin968-16228,Female,0,Yes,No,57,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Bank transfer (automatic),19.9,1115.6,No
Justin969-13195,Male,0,Yes,Yes,43,Yes,IL,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),91.25,4013.8,No
Justin970-13349,Male,0,Yes,Yes,6,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Credit card (automatic),19.85,138.85,No
Justin971-15658,Male,0,No,Yes,5,Yes,MO,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),48.65,235.2,No
Justin972-16606,Female,0,Yes,Yes,58,Yes,MO,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,44.1,2413.05,No
Justin973-18572,Male,1,Yes,No,71,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,92,6585.2,No
Justin974-17928,Female,0,No,No,49,Yes,IL,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),59.75,2934.3,Yes
Justin975-15037,Male,0,Yes,No,18,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.35,768.05,No
Justin976-19368,Male,1,Yes,Yes,43,Yes,IL,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.75,4687.9,Yes
Justin977-19832,Female,0,No,No,4,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Yes
Justin978-18752,Female,0,Yes,Yes,45,Yes,IL,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.15,4730.9,No
Justin979-17997,Female,0,No,No,5,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Mailed check,20.15,117.95,No
Justin980-13439,Female,0,Yes,No,56,Yes,MO,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,5669.5,No
Justin981-13018,Male,1,No,No,16,No,MO,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,39,679.85,Yes
Justin982-13259,Male,0,No,No,4,Yes,MO,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.9,238.5,No
Justin983-19538,Male,0,No,Yes,6,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Mailed check,19.65,100.9,No
Justin984-16882,Female,1,No,No,44,Yes,MO,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),89.15,3990.75,No
Justin985-16161,Female,0,No,No,4,Yes,MO,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,105.65,443.9,Yes
Justin986-18834,Female,1,Yes,No,71,Yes,IL,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),82.7,5831.2,No
Justin987-14233,Female,1,Yes,No,68,Yes,IL,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),96.55,6581.9,Yes
Justin988-18220,Male,0,Yes,Yes,72,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Credit card (automatic),24.75,1859.1,No
Justin989-13399,Female,0,Yes,No,13,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,1215.6,Yes
Justin990-17380,Male,0,Yes,Yes,25,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Electronic check,19.9,505.45,No
Justin991-18074,Female,1,Yes,Yes,22,Yes,IL,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),85.35,1961.6,No
Justin992-13510,Female,0,No,No,1,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.5,69.5,Yes
Justin993-19340,Male,0,Yes,Yes,2,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Mailed check,19.85,35.9,Yes
Justin994-15377,Female,0,No,No,6,Yes,MO,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.45,314.6,No
